iter	RMSE
0	40.03872334
1	37.24413956
2	35.33003104
3	33.23316582
4	30.93057387
5	28.71850385
6	27.16427735
7	25.35130174
8	24.13619814
9	22.67399576
10	21.24220202
11	20.06202704
12	18.89307168
13	17.92169493
14	16.96294616
15	15.97404701
16	15.24704725
17	14.34059767
18	13.60276797
19	12.86494194
20	12.25764581
21	11.65841749
22	11.13972436
23	10.61570373
24	10.10014478
25	9.700157184
26	9.271483875
27	8.885010227
28	8.489685385
29	8.133234053
30	7.787944249
31	7.499704842
32	7.233905822
33	6.998455186
34	6.741466265
35	6.527039287
36	6.306218722
37	6.086897088
38	5.907819145
39	5.702765482
40	5.577840144
41	5.405572829
42	5.287926469
43	5.157779697
44	5.063177478
45	4.889613146
46	4.750877594
47	4.621426052
48	4.5104815
49	4.385869002
50	4.287749563
51	4.172489829
52	4.074695272
53	3.984576934
54	3.85759905
55	3.747580037
56	3.62682796
57	3.567396046
58	3.504829151
59	3.454807039
60	3.376855747
61	3.310224331
62	3.286848782
63	3.249043349
64	3.216725145
65	3.132835528
66	3.110167547
67	3.055768574
68	3.020230211
69	2.946349138
70	2.878654441
71	2.862439618
72	2.792729439
73	2.775162309
74	2.731566121
75	2.695319729
76	2.673529519
77	2.63508833
78	2.610992338
79	2.57454926
80	2.562672915
81	2.501271887
82	2.46905877
83	2.409101574
84	2.368939523
85	2.35843617
86	2.348416932
87	2.328906146
88	2.310451596
89	2.245138946
90	2.236545028
91	2.226493565
92	2.195665537
93	2.168610546
94	2.116320532
95	2.066178963
96	2.054320063
97	2.026685488
98	1.97983118
99	1.972725545
