iter	Passed	Remaining
0	141	13967
1	143	7009
2	146	4739
3	149	3595
4	150	2854
5	150	2362
6	152	2023
7	152	1758
8	156	1579
9	157	1415
10	160	1295
11	161	1182
12	164	1099
13	167	1028
14	170	964
15	171	902
16	174	852
17	176	802
18	178	761
19	181	726
20	184	693
21	187	663
22	189	635
23	192	610
24	193	580
25	195	555
26	197	534
27	200	515
28	203	497
29	204	476
30	206	460
31	208	442
32	210	427
33	211	410
34	214	398
35	217	385
36	219	374
37	222	363
38	225	352
39	227	341
40	230	331
41	233	322
42	234	310
43	237	302
44	240	293
45	243	285
46	245	277
47	247	268
48	250	261
49	253	253
50	255	245
51	257	237
52	259	230
53	262	223
54	265	217
55	268	210
56	270	204
57	273	197
58	274	190
59	277	184
60	279	178
61	282	173
62	283	166
63	286	161
64	289	155
65	292	150
66	295	145
67	297	140
68	300	134
69	302	129
70	305	124
71	306	119
72	308	114
73	310	109
74	313	104
75	315	99
76	318	95
77	321	90
78	323	86
79	326	81
80	327	76
81	329	72
82	331	67
83	334	63
84	336	59
85	337	54
86	337	50
87	339	46
88	341	42
89	344	38
90	344	34
91	346	30
92	348	26
93	350	22
94	352	18
95	354	14
96	357	11
97	358	7
98	360	3
99	361	0
